category|title|description
kinh-doanh          |Hệ lụy kinh tế nếu chính phủ Mỹ đóng cửa                                                                                                                                                                |Nếu chính phủ Mỹ đóng cửa, tỷ lệ thất nghiệp nước này có thể tăng và nhiều số liệu kinh tế chủ chốt sẽ bị dừng công bố.                                                                                                                                                                                                                                                                                                                                                                                             
kinh-doanh          |Coteccons đặt mục tiêu doanh thu cao kỷ lục                                                                                                                                                             |Sau giai đoạn khó khăn khi bất động sản suy giảm, doanh nghiệp dẫn đầu ngành xây dựng Coteccons muốn đạt doanh thu kỷ lục 30.000 tỷ đồng.                                                                                                                                                                                                                                                                                                                                                                           
kinh-doanh          |Đề xuất 18 chủ đầu tư có năng lực tốt làm nhà ở xã hội                                                                                                                                                  |Bộ Xây dựng lựa chọn Vingroup, Sun Group cùng 16 chủ đầu tư khác có năng lực tốt làm nhà ở xã hội để giới thiệu cho các địa phương.                                                                                                                                                                                                                                                                                                                                                                                 
kinh-doanh          |Hãng chip tỷ USD của Mỹ đẩy mạnh tuyển kỹ sư ở Việt Nam                                                                                                                                                 |Marvell, nhà thiết kế chip tỷ USD của Mỹ, mở trung tâm nghiên cứu mới ở Việt Nam với ý định tuyển thêm khoảng 100 nhân sự mỗi năm.                                                                                                                                                                                                                                                                                                                                                                                  
suc-khoe            |4 cách giúp ổn định nội tiết tố khi tiền mãn kinh                                                                                                                                                       |Phái đẹp nên ghi chép các dấu hiệu của thay đổi nội tiết tố, tập thở, ăn thực phẩm có phytoestrogen để bảo vệ sức khỏe.                                                                                                                                                                                                                                                                                                                                                                                             
suc-khoe            |8 trẻ em Ấn Độ tử vong nghi do siro ho nhiễm độc                                                                                                                                                        |Giới chức Ấn Độ đang mở cuộc điều tra quy mô lớn sau khi 8 trẻ em tại hai bang Madhya Pradesh và Rajasthan tử vong, nghi ngờ liên quan siro ho nhiễm độc do các cơ sở y tế công cung cấp.                                                                                                                                                                                                                                                                                                                           
suc-khoe            |Người mỡ máu, tăng huyết áp có nên hạn chế ăn trứng?                                                                                                                                                    |Nhiều thông tin cho rằng ăn nhiều trứng không tốt cho sức khỏe do trứng chứa lượng cholesterol cao, người rối loạn mỡ máu, tăng huyết áp, đái tháo đường nên hạn chế, điều này có đúng? (Việt, 40 tuổi, Hà Nội)                                                                                                                                                                                                                                                                                                     
suc-khoe            |Vòng một 'hóa đá' sau 16 năm làm đẹp bằng silicon lỏng                                                                                                                                                  |Hà Nội Sau hơn chục năm nâng ngực, người phụ nữ 50 tuổi xuất hiện đau nhói vùng ngực gây khó chịu, sờ thấy nhiều cục lổn nhổn to nhỏ ở hai vú.                                                                                                                                                                                                                                                                                                                                                                      
suc-khoe            |Sùi mào gà có lây nhiễm sau khi đốt laser không?                                                                                                                                                        |Hai tháng trước bạn trai tôi đã đốt sùi mào gà bằng laser, hiện không còn triệu chứng. Nếu quan hệ an toàn, có lây bệnh cho tôi không? (Ngọc Thảo, 29 tuổi, Quảng Nam)                                                                                                                                                                                                                                                                                                                                              
suc-khoe            |Lá gan của người anh cứu em trai thoát chết                                                                                                                                                             |TP HCM Anh Công, 40 tuổi, đột ngột hôn mê, cách duy nhất để sống là ghép gan khẩn cấp, được người anh 44 tuổi tình nguyện hiến gan.                                                                                                                                                                                                                                                                                                                                                                                 
suc-khoe            |Robot phẫu thuật mở hy vọng sống cho người ung thư phổi                                                                                                                                                 |Ung thư phổi cướp đi sinh mạng hàng triệu người toàn cầu mỗi năm, song phẫu thuật robot và những tiến bộ điều trị đang đem lại cơ hội sống cao hơn cho các bệnh nhân.                                                                                                                                                                                                                                                                                                                                               
suc-khoe            |Phát hiện người mang 'máu kim cương' ở Trung Quốc                                                                                                                                                       |"Một nhóm máu cực hiếm - mệnh danh là ""máu kim cương"", lần đầu được phát hiện tại tỉnh Quảng Đông, mở ra hy vọng về nguồn máu dự trữ cho các ca bệnh đặc biệt.                                                                                                                                                                                                                                                                                                                                                       "
suc-khoe            |Thủ tướng Thái Lan tự lái máy bay chở tạng hiến cứu sống 7 người                                                                                                                                        |Thủ tướng Anutin Charnvirakul, trong vai trò phi công tình nguyện, lái máy bay cá nhân từ Bangkok đến tỉnh Loei để nhận tạng của nam thanh niên chết não, cứu sống 7 bệnh nhân.                                                                                                                                                                                                                                                                                                                                     
suc-khoe            |Làm gì để có bữa sáng ngon miệng, lành mạnh?                                                                                                                                                            |Gia đình tôi có ít thời gian chuẩn bị bữa sáng nên hay ăn qua loa, vậy làm thế nào để có bữa sáng vừa ngon miệng lại lành mạnh? (Thùy, 38 tuổi, Hà Nội)                                                                                                                                                                                                                                                                                                                                                             
suc-khoe            |9 cách hạ huyết áp trong một tháng không cần thuốc                                                                                                                                                      |Cao huyết áp là nguyên nhân gây tử vong hàng đầu có thể phòng ngừa, song hàng triệu người không biết mình mắc bệnh, trong khi có thể kiểm soát chỉ số này trong một tháng bằng các thay đổi đơn giản.                                                                                                                                                                                                                                                                                                               
suc-khoe            |6 thực phẩm khiến thận đầy sỏi                                                                                                                                                                          |Dù là những thực phẩm bổ dưỡng, rau bina, hạt, củ dền, khoai lang, chocolate đen và trà đen có thể làm tăng nguy cơ sỏi thận do hàm lượng oxalat cao.                                                                                                                                                                                                                                                                                                                                                               
suc-khoe            |Cách uống cà phê giúp giảm cholesterol                                                                                                                                                                  |Cà phê đen đã được lọc, không thêm kem hay đường chính là loại đồ uống buổi sáng có thể hỗ trợ giảm cholesterol.                                                                                                                                                                                                                                                                                                                                                                                                    
suc-khoe            |Chỉ số acid uric bao nhiêu cảnh báo bệnh gout?                                                                                                                                                          |Nồng độ acid uric vượt quá 7,0 mg/dL ở nam, 6,0 mg/dL ở nữ có nguy cơ tích tụ tinh thể urat trong khớp, gây các triệu chứng bệnh gout.                                                                                                                                                                                                                                                                                                                                                                              
suc-khoe            |Biến đổi khí hậu làm dịch bệnh bùng phát nhanh hơn                                                                                                                                                      |Biến đổi khí hậu đang thúc đẩy sự lan rộng của nhiều bệnh truyền nhiễm, làm tăng nguy cơ dịch bùng phát khó lường và đặt y tế trước thách thức lớn.                                                                                                                                                                                                                                                                                                                                                                 
suc-khoe            |Bỏng da đầu khi uốn tóc                                                                                                                                                                                 |TP HCM Chị Duyên, 28 tuổi, bị bỏng một mảng da đầu khi uốn tóc xoăn, phải điều trị bằng thuốc bôi và thuốc uống để tái tạo da.                                                                                                                                                                                                                                                                                                                                                                                      
suc-khoe            |6 thói quen giúp bảo vệ xương trẻ em                                                                                                                                                                    |Trẻ đeo ba lô phù hợp, tập thể dục thường xuyên, mang bảo hộ khi chơi thể thao giúp xương trẻ phát triển tốt, tránh chấn thương.                                                                                                                                                                                                                                                                                                                                                                                    
suc-khoe            |Phục hồi khả năng sinh sản cho người đàn ông không có tinh trùng                                                                                                                                        |TP HCM Anh Cường, 27 tuổi, vô sinh 3 năm do không có tinh trùng, được bác sĩ phẫu thuật phục hồi khả năng sinh sản.                                                                                                                                                                                                                                                                                                                                                                                                 
suc-khoe            |5 thói quen thường ngày tốt cho mắt                                                                                                                                                                     |Uống nước ấm thường xuyên bổ sung độ ẩm cho mắt kết hợp massage giúp tăng tuần hoàn máu, giảm khô và bọng mắt.                                                                                                                                                                                                                                                                                                                                                                                                      
suc-khoe            |Làm thế nào nhận biết trứng đã hỏng?                                                                                                                                                                    |Chất lượng quả trứng ít khi biểu hiện rõ ràng ra ngoài vỏ, song có một số cách giúp bạn nhận biết chúng đã hỏng để tránh ăn bị ngộ độc thực phẩm.                                                                                                                                                                                                                                                                                                                                                                   
suc-khoe            |Hai dấu hiệu cảnh báo sỏi niệu quản                                                                                                                                                                     |Đau lưng dữ dội kèm tiểu ra máu là dấu hiệu cảnh báo sỏi niệu quản, giúp phân biệt với nhiều bệnh lý tiết niệu khác.                                                                                                                                                                                                                                                                                                                                                                                                
suc-khoe            |5 thực phẩm màu đen tốt cho sức khỏe                                                                                                                                                                    |Mâm xôi, vừng đen, nho, hạt mè có đặc tính chống oxy hóa, giúp tăng cường sức đề kháng, giảm nguy cơ ung thư, bệnh tim và đột quỵ.                                                                                                                                                                                                                                                                                                                                                                                  
suc-khoe            |Người có bệnh nền tiêm vaccine sốt xuất huyết được không?                                                                                                                                               |Vaccine sốt xuất huyết tiêm được cho người có bệnh tim mạch, thận, tiểu đường, hen suyễn... giúp phòng bệnh và tránh nguy cơ cao trở nặng.                                                                                                                                                                                                                                                                                                                                                                          
suc-khoe            |Ai nên hạn chế ăn bánh Trung thu?                                                                                                                                                                       |Một chiếc bánh Trung thu cung cấp năng lượng tương đương 3-4 bát cơm trắng nên người tiểu đường, thừa cân - béo phì, bệnh tim mạch cần hạn chế.                                                                                                                                                                                                                                                                                                                                                                     
suc-khoe            |Tay cán vá có chữa được không?                                                                                                                                                                          |Tôi bị tay cán vá từ nhỏ, không ảnh hưởng nhiều đến sinh hoạt nhưng tay cong gây thiếu tự tin. Có cách nào chữa khỏi không? (Thanh Lam, Tiền Giang)                                                                                                                                                                                                                                                                                                                                                                 
suc-khoe            |Rối loạn tiền đình có gây đột quỵ không?                                                                                                                                                                |Tôi rối loạn tiền đình ngoại biên, nhiều lần choáng váng, ngã, tưởng đột quỵ. Bệnh này có gây đột quỵ không? (61 tuổi, Đồng Nai)                                                                                                                                                                                                                                                                                                                                                                                    
suc-khoe            |Thị lực 2/10 do đục thủy tinh thể                                                                                                                                                                       |TP HCM Ông Ben Trần, 65 tuổi, nhìn mờ, thị lực mắt trái chỉ còn 2/10, từ Mỹ về Việt Nam mổ đục thủy tinh thể.                                                                                                                                                                                                                                                                                                                                                                                                       
suc-khoe            |Virus zona tái hoạt động gây hội chứng Ramsay Hunt                                                                                                                                                      |TP HCM Chị Ngọc, 47 tuổi, liệt mặt bên phải, nuốt khó, sưng đỏ và nổi bóng nước vùng tai, bác sĩ chẩn đoán mắc hội chứng Ramsay Hunt từ bệnh zona thần kinh.                                                                                                                                                                                                                                                                                                                                                        
suc-khoe            |Ung thư thận di căn tấn công xương                                                                                                                                                                      |TP HCM Ông Minh, 59 tuổi, ung thư thận di căn xương vai, cánh tay và đùi phải, đau nhức không thể đi đứng, sau 3 tháng truyền thuốc u giảm kích thước.                                                                                                                                                                                                                                                                                                                                                      
suc-khoe            |Bàn chân nhiễm trùng do biến chứng tiểu đường                                                                                                                                                           |TP HCM Ông Khái, 80 tuổi, mắc bệnh tiểu đường hơn 30 năm, từng mất hai ngón chân vì biến chứng mạch máu, nay loét chân, đi khám kịp thời tránh cắt cụt chân.                                                                                                                                                                                                                                                                                                                                                        
suc-khoe            |6 điều người tiểu đường nên làm mỗi ngày giúp giảm viêm                                                                                                                                                 |Tăng cường chất xơ từ rau, ngủ đủ giấc, bổ sung thực phẩm giàu axit béo omega-3, tập thể dục góp phần ổn định đường huyết, giảm viêm.                                                                                                                                                                                                                                                                                                                                                                               
suc-khoe            |Ung thư phổi di căn gây tràn dịch màng phổi                                                                                                                                                             |Hà Nội Bà Phương, 50 tuổi, bị tràn dịch màng phổi, có nốt bất thường ở phổi, từ Canada về Việt Nam khám được chẩn đoán ung thư di căn màng phổi.                                                                                                                                                                                                                                                                                                                                                                    
suc-khoe            |Thiếu máu não thoáng qua do tăng huyết áp                                                                                                                                                               |TP HCM Ông Tín, 55 tuổi, xuất hiện cơn thiếu máu não thoáng qua do huyết áp tăng cao 210/110 mmHg, triệu chứng giảm dần sau nằm nghỉ 5-10 phút.                                                                                                                                                                                                                                                                                                                                                                     
suc-khoe            |Viêm loét dạ dày ở tuổi thiếu niên                                                                                                                                                                      |TP HCM Hoàng 16 tuổi và Trung 14 tuổi, đau bụng âm ỉ kéo dài không khỏi, bác sĩ khám chẩn đoán loét dạ dày tá tràng.                                                                                                                                                                                                                                                                                                                                                                                                
suc-khoe            |Công an hỗ trợ sản phụ giữa dòng nước ngập                                                                                                                                                              |Hà Nội Xe cứu thương chở một sản phụ bất ngờ chết máy giữa đường ngập sâu, công an phường Phương Liệt kịp thời hỗ trợ đưa chị đến bệnh viện an toàn.                                                                                                                                                                                                                                                                                                                                                                
suc-khoe            |Bí quyết giúp nữ thần không tuổi Cao Viên Viên trẻ đẹp                                                                                                                                                  |Trung Quốc Ngủ đủ giấc để ổn định tinh thần, ăn ít muối, dầu mỡ và tập trung protein chất lượng cao, cùng với việc cắt giảm bữa tối là những mẹo giúp Cao Viên Viên trẻ đẹp ở tuổi 45.                                                                                                                                                                                                                                                                                                                              
suc-khoe            |Quy trình buổi sáng để trường sinh bất lão của tỷ phú công nghệ                                                                                                                                         |Mỹ Bryan Johnson khởi đầu mỗi ngày bằng một quy trình 17 bước được thiết kế tỉ mỉ, kết hợp giữa khoa học và kỷ luật thép, với khát vọng sống trăm tuổi.                                                                                                                                                                                                                                                                                                                                                             
suc-khoe            |Cứ 3 phụ nữ Việt mắc ung thư, có một bị ung thư vú                                                                                                                                                      |Ung thư vú chiếm gần 29% tổng số ca bệnh ung thư ở nữ giới Việt Nam, tức cứ ba phụ nữ được chẩn đoán thì có một người mắc bệnh này, theo Tổ chức Ung thư toàn cầu (GLOBOCAN).                                                                                                                                                                                                                                                                                                                                       
suc-khoe            |Chữ bác sĩ 'không ai đọc được', Ấn Độ yêu cầu trường y dạy viết                                                                                                                                         |"Trước nguy cơ chữ viết bác sĩ như ""mật mã"" dẫn đến sai sót y tế, Tòa án Tối cao Punjab và Haryana ra phán quyết yêu cầu ngành y phải đưa các bài học về chữ viết tay vào chương trình đào tạo.                                                                                                                                                                                                                                                                                                                      "
suc-khoe            |3 bí quyết vàng giúp ngủ sâu như em bé                                                                                                                                                                  |Các nhà khoa học cho rằng bí quyết vàng để chống mất ngủ nằm ở việc ổn định đồng hồ sinh học tự nhiên cơ thể, bao gồm tiếp xúc ánh sáng tự nhiên, bữa ăn và tạo nhịp thức ngủ đều đặn.                                                                                                                                                                                                                                                                                                                              
suc-khoe            |Đánh đổi sức khỏe để giữ 'phong độ' cho chồng                                                                                                                                                           |"Chị Hạnh, 35 tuổi, sinh ba con, bác sĩ khuyên nên tránh thai để giữ sức khỏe, nhưng chồng chị luôn gạt đi việc dùng bao cao su hay triệt sản, với lý do ""mất thoải mái"", ""ảnh hưởng đến phong độ"".                                                                                                                                                                                                                                                                                                                  "
suc-khoe            |4 thói quen buổi sáng giúp gan, thận khỏe                                                                                                                                                               |Uống nước chanh ấm, nước ép rau củ tươi vào buổi sáng giúp cơ thể bổ sung vitamin, chất chống oxy hóa, hỗ trợ gan, thận giải độc tốt hơn.                                                                                                                                                                                                                                                                                                                                                                           
suc-khoe            |7 bất thường ở móng tay cảnh báo bệnh nguy hiểm                                                                                                                                                         |Móng tay xuất hiện đường Beau, móng thìa, hội chứng móng vàng... có thể cảnh báo sớm các vấn đề sức khỏe nghiêm trọng cần chú ý.                                                                                                                                                                                                                                                                                                                                                                                    
suc-khoe            |Khi nào viêm xoang lây nhiễm?                                                                                                                                                                           |Viêm xoang không lây nhiễm trực tiếp song nếu tiếp xúc trong đợt viêm cấp do nhiễm virus có thể làm tăng nguy cơ lây lan thông qua đường hô hấp.                                                                                                                                                                                                                                                                                                                                                                    
suc-khoe            |Người mẹ từ chối chữa ung thư để con được chào đời khỏe mạnh                                                                                                                                            |Hải Phòng Thai phụ 35 tuổi mắc ung thư vòm họng giai đoạn 3, chấp nhận không điều trị, đối mặt mọi rủi ro để thai nhi được lớn thêm từng ngày, chào đời khỏe mạnh.                                                                                                                                                                                                                                                                                                                                                  
suc-khoe            |Có còn cơ hội làm cha sau triệt sản?                                                                                                                                                                    |Tôi muốn triệt sản nhưng băn khoăn nếu lỡ tương lai muốn làm cha thì không biết còn có cơ hội nữa không? (Tuấn, 37 tuổi, Hà Nội)                                                                                                                                                                                                                                                                                                                                                                                    
suc-khoe            |Người đàn ông hồi sinh nhờ quả tim người chết não                                                                                                                                                       |TP Huế Người đàn ông 45 tuổi suy tim giai đoạn cuối được cứu sống nhờ quả tim của bệnh nhân chết não ở Phú Thọ bị tai nạn giao thông.                                                                                                                                                                                                                                                                                                                                                                               
the-thao            |FIFA không cấm vận Israel                                                                                                                                                                               |"Thụy Sĩ Chủ tịch FIFA Gianni Infantino cho rằng bóng đá ""không thể giải quyết các vấn đề địa chính trị"", trong bối cảnh ông chịu áp lực đình chỉ tư cách thành viên của Israel do xung đột với Palestine.                                                                                                                                                                                                                                                                                                           "
the-thao            |Võ sĩ từ cửa tử đến ngưỡng vô địch quyền Anh thế giới                                                                                                                                                   |"Nathaniel Collins, võ sĩ 29 tuổi người Scotland, phải ""chạy trốn tử thần"" từ khi mới sinh, nhưng đang đứng trước trận tranh đai châu Âu.                                                                                                                                                                                                                                                                                                                                                                            "
the-thao            |Malaysia gọi 15 cầu thủ nhập tịch chuẩn bị đấu Lào                                                                                                                                                      |Malaysia Danh sách được HLV Peter Cklamovski công bố có 10 cầu thủ lai và 5 người gốc nước ngoài hoàn toàn, để chuẩn bị đá với Lào hai trận tại vòng loại cuối Asian Cup 2027.                                                                                                                                                                                                                                                                                                                                      
the-thao            |Lý Hoàng Nam thua trận bán kết gây tranh cãi ở giải pickleball châu Á                                                                                                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
the-thao            |'Chuyên gia thăng hạng' ngỏ ý dẫn dắt Man Utd miễn phí                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
the-thao            |Chủ tịch La Liga: 'Man City gian lận suốt 10 năm nay'                                                                                                                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
the-thao            |Cờ tướng hay cờ vua khó hơn?                                                                                                                                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
